14-0285-337,85,PASSED
14-0067-483,83,PASSED
14-2895-154,79,PASSED
14-1184-228,85,PASSED
14-2360-883,77,PASSED
9000085,90,PASSED
14-0864-742,89,PASSED
9000139,82,PASSED
14-1543-241,74,FAILED
14-0260-781,77,PASSED
14-0121-609,84,PASSED
14-2496-262,80,PASSED
14-2233-254,78,PASSED
12022140,86,PASSED
14-2659-939,84,PASSED
14-0386-668,86,PASSED
14-2323-977,78,PASSED
14-2658-203,87,PASSED
14-0063-461,81,PASSED
12024151,82,PASSED
14-0806-825,82,PASSED
13-2920-287,77,PASSED
14-0646-468,84,PASSED
14-0164-296,82,PASSED
14-0976-833,76,PASSED
13-2868-846,73,FAILED
14-1467-156,75,PASSED
14-3606-937,74,FAILED
14-0666-903,81,PASSED
14-0235-862,83,PASSED
13-3650-658,73,FAILED
14-0548-100,86,PASSED
14-0069-446,90,PASSED
14-1206-983,85,PASSED
14-0941-640,82,PASSED
12-2573-576,,
14-1376-247,83,PASSED
12-2971-883,78,PASSED
14-2410-312,82,PASSED
14-0083-489,92,PASSED
